Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
418	0.3	33.17	3	1	1	0.146495645	0.898639884
419	0.08	2.27	2	1	1	0.38852533	0.764988345
420	0.23	24.65	1	1	1	0.18324494	0.889986565
421	0.09	24.08	5	1	1	0.165762723	0.879143617
422	0.36	38.19	4	1	1	0.083503467	0.919863685
423	0.24	25.75	3	1	1	0.090514674	0.928662155
424	0.24	20.55	2	1	1	0.091362542	0.93542386
425	0.07	7.48	1	1	1	0.247614024	0.844244994
426	0.31	1.94	5	1	1	0.112920147	0.892556283
427	0.18	10.71	4	1	1	0.114856879	0.905616272
428	0.28	17.48	3	1	1	0.093775303	0.92096226
429	0.2	34.04	2	1	1	0.10981647	0.918637591
430	0.03	9.81	1	1	1	0.432668295	0.714994088
431	0.27	5.74	5	1	1	0.14869411	0.867047973
432	0.1	20.85	4	1	1	0.183106944	0.870466692
433	0.28	0.61	3	1	1	0.116982608	0.902159118
434	0.24	20.91	2	1	1	0.121608232	0.894333136
435	0.11	24.74	1	1	1	0.218974541	0.866861769
436	0.09	10.89	5	1	1	0.165836057	0.891650676
437	0.24	25.95	4	1	1	0.089873323	0.92814551
438	0.26	38.32	3	1	1	0.090144414	0.935441128
439	0.16	13.94	2	1	1	0.114637111	0.927733888
440	0.25	23.46	1	1	1	0.08972565	0.939724315
441	0.45	1.75	5	1	1	0.106022099	0.898437456
442	0.06	11.21	4	1	1	0.183021044	0.885883397
443	0.04	16.11	3	1	1	0.267282946	0.839785729
444	0.28	9.23	2	1	1	0.089139517	0.930279231
445	0.17	13.87	1	1	1	0.107136567	0.922204336
446	0.13	20.45	5	1	1	0.12817725	0.905027974
447	0.04	64.72	4	1	1	0.278713033	0.829508149
448	0.08	9.76	3	1	1	0.170204925	0.897440795
449	0.44	29.37	2	1	1	0.071992571	0.935548992
450	0.31	13.61	1	1	1	0.086651873	0.932636558
451	0.07	11.73	5	1	1	0.288119482	0.786522694
452	0.26	3.04	4	1	1	0.121602478	0.911933064
453	0.52	24.28	3	1	1	0.098377261	0.898550909
