Specification of terrain components							
TC-ID	fraction	slope[%]	position[-]	beta_fac	sdr_tc	f_diff2conc	f_conc2diff
372	0.06	43.03	4	1	1	0.728161216	0.39645739
371	0.07	20.13	5	1	1	0.740146553	0.366328804
380	0.19	40.46	1	1	1	0.866963876	0.225469191
379	0.5	46.52	2	1	1	0.911427224	0.103868816
378	0.12	31.5	3	1	1	0.809566709	0.22927305
377	0.08	22.68	4	1	1	0.778652338	0.312182331
376	0.11	11.27	5	1	1	0.794766967	0.287645773
385	0.11	25.42	1	1	1	0.901008633	0.161924103
384	0.14	35.51	2	1	1	0.920426484	0.134215651
383	0.36	21.99	3	1	1	0.941760721	0.074920538
382	0.24	28.06	4	1	1	0.92190897	0.093198036
381	0.15	14.66	5	1	1	0.884042463	0.136275578
390	0.09	17.95	1	1	1	0.861735394	0.229238793
389	0.18	7.36	2	1	1	0.911005074	0.138289507
388	0.16	24.79	3	1	1	0.909891669	0.149461274
387	0.38	36.38	4	1	1	0.920021737	0.092468546
386	0.19	26.06	5	1	1	0.875194431	0.145042138
395	0.01	53.38	1	1	1	0.256296716	0.848865978
394	0.36	32.43	2	1	1	0.915619858	0.128842194
393	0.22	27.95	3	1	1	0.888867221	0.17244992
392	0.34	20.12	4	1	1	0.871352321	0.145198419
391	0.07	13.24	5	1	1	0.703234967	0.408937707
400	0.01	26.41	1	1	1	0.244764642	0.852454786
399	0.52	36.82	2	1	1	0.914685597	0.108072947
398	0.1	30.91	3	1	1	0.831142212	0.273536116
397	0.22	20.8	4	1	1	0.853912998	0.17922593
396	0.15	10.11	5	1	1	0.816325051	0.248416513
405	0.35	29.7	1	1	1	0.930088444	0.081468139
404	0.22	17.47	2	1	1	0.930751115	0.095460906
403	0.28	32.57	3	1	1	0.929277448	0.093087705
402	0.06	56.96	4	1	1	0.879108964	0.197550691
401	0.09	19.9	5	1	1	0.881979737	0.159196539
410	0.13	55.49	1	1	1	0.827896865	0.281726847
409	0.04	25.53	2	1	1	0.595939429	0.556754714
408	0.2	56.46	3	1	1	0.899022211	0.176768639
407	0.16	35.59	4	1	1	0.891165888	0.174238663
406	0.47	10.77	5	1	1	0.866415876	0.172494741
420	0.03	12.49	1	1	1	0.689178367	0.449959587
419	0.16	46.21	2	1	1	0.913071911	0.133001291
418	0.4	8.65	3	1	1	0.938069579	0.074607336
417	0.04	26.44	4	1	1	0.836262083	0.321976033
416	0.37	5.64	5	1	1	0.908134899	0.089670718
430	0.31	16.47	1	1	1	0.908499475	0.128895826
429	0.1	34.51	2	1	1	0.836089694	0.291439736
428	0.12	25.94	3	1	1	0.849943902	0.245402354
427	0.24	41.67	4	1	1	0.888126171	0.140489581
426	0.23	20.14	5	1	1	0.851226964	0.181558466
440	0.17	19.36	1	1	1	0.91378209	0.123183882
439	0.14	30.89	2	1	1	0.917788618	0.132111013
438	0.06	55.68	3	1	1	0.802681171	0.250018842
437	0.32	21.82	4	1	1	0.491356505	0.096082271
436	0.31	1.44	5	1	1	0.870747824	0.125850233
445	0.35	17.82	1	1	1	0.923698277	0.092686533
444	0.12	8.12	2	1	1	0.900917876	0.177243609
443	0.12	28.84	3	1	1	0.894503651	0.156193968
442	0.02	25.11	4	1	1	0.620701444	0.514196482
441	0.39	0.43	5	1	1	0.872670915	0.104584041
450	0.25	26.45	1	1	1	0.940989416	0.088084745
449	0.14	10.25	2	1	1	0.926129068	0.125156239
448	0.28	37.36	3	1	1	0.943289166	0.084322376
447	0.22	27.78	4	1	1	0.932131417	0.089324243
446	0.11	12.39	5	1	1	0.916269463	0.133494953
455	0.11	30.85	1	1	1	0.916343291	0.139987376
454	0.1	17.48	2	1	1	0.91696413	0.143309264
453	0.18	1.71	3	1	1	0.922980063	0.099431605
452	0.18	29.83	4	1	1	0.91213532	0.105273091
451	0.43	12.11	5	1	1	0.893489346	0.102111575
460	0.21	5.06	1	1	1	0.923239093	0.111660923
459	0.58	16.87	2	1	1	0.900285133	0.091533419
458	0.1	0.39	3	1	1	0.882724801	0.161536553
457	0.04	23.35	4	1	1	0.798098002	0.319738633
456	0.07	11.07	5	1	1	0.840189165	0.220851606
464	0.309278351	18.44	1	1	1	0.906496953	0.091259526
463	0.24742268	1.55	2	1	1	0.915477185	0.102583376
462	0.144329897	21.58	3	1	1	0.8833076	0.126914366
461	0.298969072	5.11	4	1	1	0.887692539	0.11942392
470	0.03	65.98	1	1	1	0.483957012	0.629171405
469	0.18	33.53	2	1	1	0.863562567	0.230949079
468	0.26	8.55	3	1	1	0.904892482	0.178744385
467	0.2	22.04	4	1	1	0.851585564	0.211252512
466	0.33	8.94	5	1	1	0.842435151	0.181119706
475	0.03	33.77	1	1	1	0.655813061	0.478785776
474	0.08	28.64	2	1	1	0.848088793	0.251128452
473	0.32	20.34	3	1	1	0.925092832	0.094383112
472	0.46	14.51	4	1	1	0.897750467	0.102928457
471	0.11	6.95	5	1	1	0.865565307	0.183179012
480	0.01	64.91	1	1	1	0.497064398	0.649903222
479	0.1	20.83	2	1	1	0.895267571	0.156423811
478	0.02	70.9	3	1	1	0.679333273	0.48255755
477	0.36	17.01	4	1	1	0.921663208	0.083138748
476	0.51	5.94	5	1	1	0.868262718	0.11215234
485	0.03	50.66	1	1	1	0.674293778	0.455492424
484	0.12	36.07	2	1	1	0.90114002	0.174087203
483	0.18	23.94	3	1	1	0.912024989	0.131600902
482	0.42	12.17	4	1	1	0.885059432	0.110362618
481	0.25	6.55	5	1	1	0.883045282	0.130639603
490	0.23	40.85	1	1	1	0.92157496	0.09757928
489	0.06	32.59	2	1	1	0.861504247	0.219732166
488	0.16	20.07	3	1	1	0.926808811	0.106941548
487	0.12	35.17	4	1	1	0.911053834	0.129134184
486	0.43	8.29	5	1	1	0.89462046	0.104687219
495	0.03	38.67	1	1	1	0.658403271	0.498807438
494	0.1	41.11	2	1	1	0.858308825	0.230133778
493	0.16	30.06	3	1	1	0.906406985	0.14999292
492	0.18	19.68	4	1	1	0.906261255	0.133392223
491	0.53	9.43	5	1	1	0.902497532	0.102114542
500	0.09	29.33	1	1	1	0.819685798	0.350127167
499	0.48	15.25	2	1	1	0.873788014	0.129419438
498	0.12	6.33	3	1	1	0.826724971	0.27571715
497	0.1	11.07	4	1	1	0.774784336	0.322069452
496	0.21	2.3	5	1	1	0.850909872	0.235011844
505	0.17	16.99	1	1	1	0.906816923	0.140401069
504	0.34	9.43	2	1	1	0.88807875	0.115385699
503	0.22	2.35	3	1	1	0.893163567	0.123799791
502	0.14	14.16	4	1	1	0.868153667	0.147772594
501	0.13	5.53	5	1	1	0.868140241	0.175642344
510	0.01	34.23	1	1	1	0.218675997	0.861860652
509	0.36	15.06	2	1	1	0.906763649	0.143055817
508	0.04	31.36	3	1	1	0.549009304	0.587630943
507	0.54	24.03	4	1	1	0.859999095	0.138950714
506	0.05	13.23	5	1	1	0.5827712	0.544265268
515	0.01	77.65	1	1	1	0.410406076	0.744754367
514	0.28	40.12	2	1	1	0.890167412	0.118805209
