discharge
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
YYYY	MM	DD	HH	Cabecera	Capella	Carrasquero	Ceguera	Lascuarre	Villacarli
2011	01	15	11	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	12	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	13	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	14	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	15	-9999	3.181	-9999	-9999	-9999	-9999
2011	01	15	16	-9999	3.08	-9999	-9999	-9999	-9999
2011	01	15	17	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	15	18	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	15	19	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	15	20	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	15	21	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	15	22	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	15	23	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	00	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	01	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	02	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	03	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	04	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	05	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	06	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	07	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	08	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	09	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	10	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	11	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	12	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	13	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	14	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	15	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	16	-9999	2.979	-9999	-9999	-9999	-9999
2011	01	16	17	-9999	2.833	-9999	-9999	-9999	-9999
2011	01	16	18	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	16	19	-9999	2.785	-9999	-9999	-9999	-9999
2011	01	16	20	-9999	2.785	-9999	-9999	-9999	-9999
