Specification of which SVCs are contained in each TC
TC-ID[-]	SVC-ID[-]	fraction[-]
113	1106903	0.01
113	120816	0.006
114	106918	0.222
114	106917	0.17
114	106903	0.157
114	106916	0.107
114	120816	0.031
114	106910	0.016
114	120812	0.016
115	106918	0.296
115	106917	0.167
115	106903	0.13
115	106916	0.099
115	106910	0.068
116	106918	0.507
116	1106918	0.219
116	1116503	0.08
116	106917	0.076
116	106916	0.053
116	1106903	0.052
116	1116518	0.013
117	106918	0.731
117	106903	0.083
117	1106918	0.051
117	106917	0.049
117	106916	0.038
117	106910	0.028
117	106912	0.02
118	106918	0.647
118	106916	0.134
118	106903	0.118
118	106912	0.094
118	106917	0.006
119	106918	0.585
119	106916	0.163
119	106903	0.109
